model,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,fit_seconds
MostFrequent,0.47946491090965926,7.341195032490818e-05,0.21605329733824835,2.2360162908763393e-05,0.30039286613464355
MultinomialNB,0.7382004923413567,0.003803523019914692,0.5620207581539224,0.004785168590480501,0.2595583438873291
LogisticRegression,0.7625184237261645,0.0048980601342914105,0.7170073695686245,0.005438318245536855,0.5143582344055175
LinearSVC,0.7656444787433573,0.006793934996726462,0.705360919886256,0.009487524886442018,0.40035581588745117
"LinearSVC (C=0.3, đã dò)",0.7748956900593935,0.0038270997558615453,0.7180427806083267,0.006581219707583459,0.37802934646606445
